accession,correct,genus,strain_name,location,virus_name,isolation_source,host,isolation_date,lab_culture,wastewater_sewage,standardized_host,host_category,standardized_location,zoonotic,processing_method,gemini_annotated,is_segmented,segment_label,manual_update
JN880451.1,TRUE,Mastadenovirus,A1258,USA,Simian adenovirus A1258,,non-human,2009,FALSE,FALSE,Macaca mulatta,Mammal,USA,TRUE,ai,TRUE,FALSE,,
OX442297.1,TRUE,Orthoflavivirus,ED-I-115-19,,West Nile virus,,non-human,,FALSE,FALSE,,,,TRUE,ai,TRUE,FALSE,,
MZ090957.1,TRUE,Orthoflavivirus,Sabal-1/2019,"USA: St. John's County, Florida",Long Pine Key virus,,non-human,2019-01-08,TRUE,FALSE,Ochlerotatus atlanticus,Insect,"St. John's County, USA",FALSE,ai,TRUE,FALSE,,
MG589938.1,TRUE,Orthoflavivirus,Kuutsalo-14_Ixodes_ricinus_Finland-2017,Finland,Tick-borne encephalitis virus,,non-human,Sep-2017,TRUE,FALSE,Ixodes ricinus,Insect,Finland,TRUE,ai,TRUE,FALSE,,
KU198474.1,TRUE,Lyssavirus,12N0280RFX,Canada,Lyssavirus rabies,,non-human,2012,FALSE,FALSE,Vulpes vulpes,Mammal,Canada,TRUE,ai,TRUE,FALSE,,
MN038329.1,TRUE,Novirhabdovirus,DK-Hededam,Denmark,Viral hemorrhagic septicemia virus,,non-human,1970,FALSE,FALSE,Oncorhynchus mykiss,Fish,Denmark,FALSE,ai,TRUE,FALSE,,
NC_025842.1,TRUE,Cypovirus,Macheng,China,Dendrolimus punctatus cypovirus 22,,non-human,2004,FALSE,FALSE,Dendrolimus punctatus,Insect,China,FALSE,ai,TRUE,TRUE,14,
AY193805.1,TRUE,Orthoflavivirus,Bogoluvovska,,Omsk hemorrhagic fever virus,,non-human,,FALSE,FALSE,Ixodida,Insect,,TRUE,ai,TRUE,FALSE,,
EU177782.1,TRUE,Sprivivirus,BJ0505-2,China: Beijing,Sprivivirus cyprinus,,non-human,,FALSE,FALSE,,Other,"Beijing, China",FALSE,ai,TRUE,FALSE,,
ON986479.1,TRUE,Lyssavirus,19_3532,"USA: NewLondon,CT",Lyssavirus rabies,,non-human,23-Aug-2019,FALSE,FALSE,Mephitidae,Mammal,"NewLondon, USA",TRUE,ai,TRUE,FALSE,,
AB747375.1,FALSE,Enterovirus,02363-Thai-02,Thailand,Enterovirus A71,,non-human,,FALSE,FALSE,Unknown,Other,"Unknown, Thailand",TRUE,ai,TRUE,FALSE,,
JF957166.1,TRUE,Orthoflavivirus,ARC33-06,USA: UT,West Nile virus,,non-human,2006,FALSE,FALSE,,Other,"UT, USA",TRUE,ai,TRUE,FALSE,,
MK540671.1,TRUE,Lyssavirus,NY.1990.3805R,USA: New York,Lyssavirus rabies,,non-human,1990,FALSE,FALSE,Procyon lotor,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
EU155822.1,TRUE,Orthohepadnavirus,OS9,Thailand,Hepatitis B virus,,non-human,,FALSE,FALSE,Pongo pygmaeus,Mammal,Thailand,TRUE,ai,TRUE,FALSE,,
OX442305.1,TRUE,Orthoflavivirus,ED-I-210-20,,West Nile virus,,non-human,,FALSE,FALSE,,,,TRUE,ai,TRUE,FALSE,,
KT224510.1,TRUE,Orthoreovirus,SD-14,China,Mammalian orthoreovirus 3,,non-human,Oct-2014,FALSE,FALSE,Neovison vison,Mammal,"Unknown, China",TRUE,ai,TRUE,TRUE,S1,
KY026454.1,TRUE,Lyssavirus,raccoon,Canada,Lyssavirus rabies,,non-human,19-Jun-2001,FALSE,FALSE,Procyon lotor,Mammal,Canada,TRUE,ai,TRUE,FALSE,,
KU840339.1,TRUE,Alphavirus,EEEV/Morus sp./USA/I13-021-F/2013,"USA: Wakulla County, FL",Eastern equine encephalitis virus,,non-human,08-Apr-2013,FALSE,FALSE,Morus,Plant,"Wakulla County, USA",TRUE,ai,TRUE,FALSE,,
KM576877.1,TRUE,Fijivirus,Ninh Binh 1,Viet Nam: Ninh Binh,Southern rice black-streaked dwarf virus,,non-human,05-Sep-2011,FALSE,FALSE,plant,Plant,"Ninh Binh, Viet Nam",FALSE,ai,TRUE,TRUE,S7,
HQ595340.1,TRUE,Picornaviridae,NC16A,Hong Kong,Bat picornavirus 1,,non-human,19-Dec-2008,FALSE,FALSE,Miniopterus pusillus,Mammal,Hong Kong,TRUE,ai,TRUE,FALSE,,
NC_010668.1,TRUE,Cypovirus,China,China,Cypovirus 5,,non-human,,FALSE,FALSE,,Other,China,TRUE,ai,TRUE,TRUE,3,
DQ997176.1,TRUE,Alphainfluenzavirus,A/duck/Hubei/wq/2003,China,Influenza A virus (A/duck/Hubei/wq/2003(H5N1)),,non-human,,FALSE,FALSE,Anas platyrhynchos domesticus,Avian,"Hubei, China",TRUE,ai,TRUE,TRUE,3,
AY277889.1,TRUE,Mycoreovirus,,,Cryphonectria parasitica mycoreovirus 1,,non-human,,FALSE,FALSE,Cryphonectria parasitica,Fungi,,FALSE,ai,TRUE,TRUE,2,
MF327532.1,TRUE,Picornaviridae,gpai004,,Aimelvirus 4,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,FALSE,,
MK598361.1,TRUE,Lyssavirus,29628,Hungary,Lyssavirus rabies,,non-human,2013,FALSE,FALSE,Vulpes vulpes,Mammal,,TRUE,ai,TRUE,FALSE,,
JQ806361.1,TRUE,Mardivirus,648a,,Gallid alphaherpesvirus 2,,non-human,,FALSE,FALSE,Gallus gallus,Avian,,FALSE,ai,TRUE,FALSE,,
AY184220.1,FALSE,Enterovirus,Sabin 2,,Poliovirus 2,,non-human,,FALSE,FALSE,,,,TRUE,ai,TRUE,FALSE,,
LN713607.1,TRUE,Lyssavirus,sadBatch806_5_var06,,Lyssavirus rabies,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
HQ834197.1,TRUE,Rotavirus,CC0812-1/2008,China,Lamb rotavirus,,non-human,Dec-2008,FALSE,FALSE,Ovis aries,Mammal,China,TRUE,ai,TRUE,TRUE,1,
JQ647509.1,TRUE,Mardivirus,CHv,China,anatid alphaherpesvirus 1,,non-human,,FALSE,FALSE,,Avian,"null, China",FALSE,ai,TRUE,FALSE,,
KF769016.1,TRUE,Orthoflavivirus,Asibi,,Yellow fever virus,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
MW279846.1,TRUE,Orthoreovirus,PRV-1 NOR-1997-V4105,Norway,Piscine orthoreovirus,,non-human,1997,FALSE,FALSE,Salmo salar,Fish,Norway,FALSE,ai,TRUE,TRUE,M3,
OL704216.1,TRUE,Orthoflavivirus,946,"USA: Cape Elizabeth, ME",Powassan virus,,non-human,06-Oct-2016,FALSE,FALSE,Ixodes scapularis,Insect,"Cape Elizabeth, USA",TRUE,ai,TRUE,FALSE,,
DQ997379.1,TRUE,Alphainfluenzavirus,A/chicken/Jilin/hf/2002,China,Influenza A virus (A/chicken/Jilin/hf/2002(H5N1)),,non-human,,FALSE,FALSE,Gallus gallus domesticus,Avian,China,TRUE,ai,TRUE,TRUE,5,
MN689043.1,TRUE,Alphavirus,SW94393,"Australia: Western Australia, Capel",Barmah Forest virus,,non-human,20-Nov-2012,FALSE,FALSE,Ochlerotatus camptorhynchus,Insect,"Capel, Australia",TRUE,ai,TRUE,FALSE,,
KM923919.1,TRUE,Alphavirus,M128,Malaysia,Chikungunya virus,,non-human,09-Mar-2007,TRUE,FALSE,Macaca fascicularis,Mammal,"Unknown, Malaysia",TRUE,ai,TRUE,FALSE,,
MT613317.1,TRUE,Betanucleorhabdovirus,DSMZ PV-0052,USA: Florida,Sonchus yellow net nucleorhabdovirus,,non-human,,FALSE,FALSE,Lactuca sativa,Plant,"Florida, USA",FALSE,ai,TRUE,FALSE,,
AF005365.1,TRUE,Macavirus,,,Alcelaphine gammaherpesvirus 1,,non-human,,FALSE,FALSE,Alcelaphus buselaphus,Mammal,", ",FALSE,ai,TRUE,FALSE,,
KX891223.1,TRUE,Aquareovirus,GSH1,USA,Fall chinook aquareovirus,,non-human,21-Oct-2014,FALSE,FALSE,Oncorhynchus tschawytscha,Fish,"Unknown, USA",FALSE,ai,TRUE,TRUE,8,
MT162447.1,TRUE,Novirhabdovirus,MM73,France,Viral hemorrhagic septicemia virus,,non-human,2014,FALSE,FALSE,Oncorhynchus mykiss,Fish,France,FALSE,ai,TRUE,FALSE,,
KX547170.1,TRUE,Orthoflavivirus,WNV-1/Culiseta sp./USA/39030203/2003,"USA: Onondaga Co., NY",West Nile virus,,non-human,23-Sep-2003,TRUE,FALSE,Culiseta,Insect,"Onondaga Co., USA",TRUE,ai,TRUE,FALSE,,
OP642459.1,TRUE,Lyssavirus,"MSV Bio-16: SAD Vnukovo-32 109. pa, 29.11.1992",,Lyssavirus rabies,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
OL889858.1,TRUE,Amdoparvovirus,BC_SK10,Canada: British Columbia,Amdoparvovirus carnivoran4,,non-human,,FALSE,FALSE,Mephitis mephitis,Mammal,"British Columbia, Canada",TRUE,ai,TRUE,FALSE,,
NC_030874.1,TRUE,Mastadenovirus,WIV13,"China: Mojiang, Yunnan",Bat mastadenovirus WIV13,,non-human,06-Aug-2012,FALSE,FALSE,Miniopterus schreibersi,Mammal,"Mojiang, China",TRUE,ai,TRUE,FALSE,,
OM249653.1,TRUE,Fijivirus,ZJNB01,China,Fijivirus sp.,,non-human,Mar-2019,FALSE,FALSE,Laodelphax striatellus,Insect,China,FALSE,ai,TRUE,TRUE,5,
NC_013233.1,TRUE,Orthoreovirus,MPC/04,China,Mammalian orthoreovirus 3,,non-human,2004,FALSE,FALSE,Paguma larvata,Mammal,,TRUE,ai,TRUE,TRUE,S3,
KY962685.1,TRUE,Orthohepadnavirus,Guizhou-Ms-196,China,Bat Hepatitis B virus,,non-human,2012,FALSE,FALSE,Miniopterus schreibersii,Mammal,China,TRUE,ai,TRUE,FALSE,,
HQ259675.1,TRUE,Isavirus,Glesvaer/2/90,Norway,Isavirus salaris,,non-human,,FALSE,FALSE,Salmo salar,Fish,Norway,FALSE,ai,TRUE,TRUE,5,
NC_025962.1,TRUE,Atadenovirus,HKU/Parrot19,Hong Kong,Psittacine adenovirus 3,,non-human,Nov-2012,FALSE,FALSE,Amazona farinosa,Avian,"Hong Kong, China",TRUE,ai,TRUE,FALSE,,
HM488196.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4376/2005,USA: Illinois,West Nile virus,,non-human,2005,FALSE,FALSE,Corvus brachyrhynchos,Avian,"Illinois, USA",TRUE,ai,TRUE,FALSE,,
OP920760.1,TRUE,Kobuvirus,CpKoV/XK/CHN/2021,China,Capreolus pygargus kobuvirus,,non-human,2021,FALSE,FALSE,Capreolus pygargus,Mammal,China,FALSE,ai,TRUE,FALSE,,
OL889875.1,TRUE,Amdoparvovirus,ON_SSK5,Canada: Ontario,Amdoparvovirus carnivoran4,,non-human,,FALSE,FALSE,Mephitis mephitis,Mammal,"Ontario, Canada",TRUE,ai,TRUE,FALSE,,
MN233938.1,TRUE,Lyssavirus,NL.2015.0080RFX,Canada: Newfoundland and Labrador,Lyssavirus rabies,,non-human,2015,FALSE,FALSE,Vulpes vulpes,Mammal,"Newfoundland and Labrador, Canada",TRUE,ai,TRUE,FALSE,,
OR344335.1,TRUE,Orthoreovirus,Pika/MRV/GCCDC7/2019,China,Mammalian orthoreovirus,,non-human,Dec-2019,FALSE,FALSE,Ochotona curzoniae,Mammal,China,FALSE,ai,TRUE,TRUE,L2,
MW602285.1,TRUE,Pipapillomavirus,APV516,Slovenia,Phodopus sungorus papillomavirus 1,,non-human,,FALSE,FALSE,Phodopus roborovskii,Mammal,Slovenia,FALSE,ai,TRUE,FALSE,,
KT232256.1,TRUE,Dependoparvovirus,FJ01,China,Goose parvovirus,,non-human,10-Oct-2012,FALSE,FALSE,Anser cygnoides,Avian,China,FALSE,ai,TRUE,FALSE,,
MK492309.1,TRUE,Lyssavirus,QA018,Australia: Far North Queensland,Lyssavirus australis,,non-human,2017,FALSE,FALSE,Pteropus conspicillatus,Mammal,"null, Australia",TRUE,ai,TRUE,FALSE,,
NC_022563.1,TRUE,Sciuripoxvirus,Red squirrel UK,United Kingdom,Squirrelpox virus,,non-human,,FALSE,FALSE,Sciurus vulgaris,Mammal,United Kingdom,FALSE,ai,TRUE,FALSE,,
MK050972.1,TRUE,Aviadenovirus,FAdV-1,China,Fowl aviadenovirus A,,non-human,20-Aug-2017,FALSE,FALSE,Gallus gallus domesticus,Avian,China,FALSE,ai,TRUE,FALSE,,
ON160015.1,TRUE,Picornaviridae,AS-3,USA,Scallop picorna-like virus 3,,non-human,Nov-2019,FALSE,FALSE,Argopecten irradians,Other,,FALSE,ai,TRUE,FALSE,,
NC_034168.1,TRUE,Aquareovirus,GSH1,USA,Fall chinook aquareovirus,,non-human,21-Oct-2014,FALSE,FALSE,Oncorhynchus tschawytscha,Fish,"null, USA",FALSE,ai,TRUE,TRUE,1,
MK598391.1,TRUE,Lyssavirus,9435,Hungary,Lyssavirus rabies,,non-human,2014,FALSE,FALSE,Vulpes vulpes,Mammal,Hungary,TRUE,ai,TRUE,FALSE,,
MG212488.1,FALSE,Enterovirus,10,,Poliovirus 2,,non-human,,FALSE,FALSE,,,,TRUE,ai,TRUE,FALSE,,
AY950274.1,TRUE,Alphainfluenzavirus,A/Chicken/Henan/12/2004,China,Influenza A virus (A/chicken/Henan/12/2004(H5N1)),,non-human,,FALSE,FALSE,Gallus gallus domesticus,Avian,,TRUE,ai,TRUE,TRUE,2,
OR882008.1,TRUE,Ephemerovirus,MCEFV/XJ82F/CHN/2016,China,Marmot Ephemerovirus,,non-human,2016,FALSE,FALSE,Marmota caudata,Mammal," , China",FALSE,ai,TRUE,FALSE,,
OP683727.1,FALSE,Alphavirus,M1-GFP-P10,,Alphavirus M1,,non-human,,FALSE,FALSE,Unknown,Other,Unknown,FALSE,ai,TRUE,FALSE,,
LC426682.1,TRUE,Polyomaviridae,PyV19-FCC38,China,Rhinolophus affinis polyomavirus 3,,non-human,2016,FALSE,FALSE,Rhinolophus affinis,Mammal,"null, China",TRUE,ai,TRUE,FALSE,,
OL704824.1,TRUE,Papillomaviridae,MAVG-33,Argentina,Eumops bonariensis papillomavirus type 1,,non-human,13-Apr-2017,FALSE,FALSE,Eumops bonariensis,Mammal,Argentina,FALSE,ai,TRUE,FALSE,,
ON024135.1,TRUE,Protoparvovirus,PPrV/P110T/pangolin/2018,China,Pangolin protoparvovirus,,non-human,2018,FALSE,FALSE,Manis,Mammal,China,TRUE,ai,TRUE,FALSE,,
KY370096.1,TRUE,Papillomaviridae,RtAc-PV/GZ2015,China,Rodent papillomavirus,,non-human,Dec-2015,FALSE,FALSE,Apodemus chevrieri,Mammal,"null, China",FALSE,ai,TRUE,FALSE,,
PP777177.1,TRUE,Varicosavirus,NH,China,Orychophragmus violaceus varicosavirus,,non-human,14-Apr-2021,FALSE,FALSE,Orychophragmus violaceus,Plant,China,FALSE,ai,TRUE,TRUE,RNA2,
EU329180.1,TRUE,Alphainfluenzavirus,A/wild duck/Hunan/021/2005,China,Influenza A virus (A/wild duck/Hunan/021/2005(H5N1)),,non-human,,FALSE,FALSE,bird,Avian,China,TRUE,ai,TRUE,TRUE,7,
KY426763.1,TRUE,Orthoflavivirus,V501,Germany,Usutu virus,,non-human,24-Sep-2016,FALSE,FALSE,Turdus merula,Avian,,TRUE,ai,TRUE,FALSE,,
MN038343.1,TRUE,Novirhabdovirus,23-75,France,Viral hemorrhagic septicemia virus,,non-human,1975,FALSE,FALSE,Salmo trutta fario,Fish,France,FALSE,ai,TRUE,FALSE,,
KX008968.1,TRUE,Gammapolyomavirus,PT25528,Portugal,Gammapolyomavirus avis,,non-human,Oct-2015,FALSE,FALSE,Ara chloroptera,Avian,Portugal,FALSE,ai,TRUE,FALSE,,
FJ031019.1,TRUE,Rotavirus,Lamb-NT,,Lamb rotavirus,,non-human,Jun-2007,FALSE,FALSE,Ovis aries,Mammal,,FALSE,ai,TRUE,TRUE,5,
KU254572.1,TRUE,Aquareovirus,Huan1307,China,Grass carp reovirus,,non-human,Jul-2013,FALSE,FALSE,Ctenopharyngodon idellus,Fish,"Unknown, China",FALSE,ai,TRUE,TRUE,7,
NC_007582.1,TRUE,Aquareovirus,,,Chum salmon reovirus CS,,non-human,,FALSE,FALSE,Oncorhynchus keta,Fish,,FALSE,ai,TRUE,TRUE,1,
L33825.1,TRUE,Orbivirus,600044,,Epizootic hemorrhagic disease virus 2,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,TRUE,2,
JX274031.1,TRUE,Avihepadnavirus,P1195,Poland,Parrot hepatitis B virus,,non-human,04-Mar-2011,FALSE,FALSE,Psittacula krameri,Avian,,FALSE,ai,TRUE,FALSE,,
NC_006005.1,TRUE,Orbivirus,,,St Croix River virus,,non-human,,FALSE,FALSE,Ixodes scapularis,Insect,,TRUE,ai,TRUE,TRUE,,
OM728643.1,TRUE,Penstyldensovirus,E,Peru,Decapod penstyldensovirus 1,,non-human,01-Jul-2021,FALSE,FALSE,Penaeus vannamei,Crustacean,Peru,FALSE,ai,TRUE,FALSE,,
JN542536.1,TRUE,Iltovirus,63140/C/08/BR,USA,Gallid alphaherpesvirus 1,,non-human,,FALSE,FALSE,Gallus gallus,Avian,USA,FALSE,ai,TRUE,FALSE,,
DQ875051.1,TRUE,Lyssavirus,DRV,China: Jilin province,Lyssavirus rabies,,non-human,,FALSE,FALSE,,Other,"Jilin province, China",TRUE,ai,TRUE,FALSE,,
MZ561700.1,TRUE,Orthoreovirus,Reo/SDWF/pheaseant/17608/20,China,Avian orthoreovirus,,non-human,08-Jun-2020,FALSE,FALSE,Phasianus colchicus,Avian,China,TRUE,ai,TRUE,TRUE,S1,
AF405668.1,FALSE,Enterovirus,HAI01001,,Poliovirus 1,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
M32990.1,TRUE,Avihepadnavirus,,,Duck hepatitis B virus,,non-human,,FALSE,FALSE,Anas platyrhynchos,Avian,,TRUE,ai,TRUE,FALSE,,
MW721921.1,TRUE,Alpharicinrhavirus,WTV1/MCYTH3,China,Wuhan Tick Virus 1,,non-human,2019,FALSE,FALSE,Rhipicephalus microplus,Insect,,TRUE,ai,TRUE,FALSE,,
NC_013226.1,TRUE,Orthoreovirus,MPC/04,China,Mammalian orthoreovirus 3,,non-human,2004,FALSE,FALSE,Paguma larvata,Mammal,China,TRUE,ai,TRUE,TRUE,L2,
MK782984.1,TRUE,Novirhabdovirus,TAVgr6-11,USA: Lake Erie,Viral hemorrhagic septicemia virus,,non-human,2006,FALSE,FALSE,Micropterus dolomieu,Fish,"Lake Erie, USA",FALSE,ai,TRUE,FALSE,,
MK944088.1,TRUE,Lyssavirus,QA008,Australia: South East Queensland,Lyssavirus australis,,non-human,2013,FALSE,FALSE,Pteropus scapulatus,Mammal,"South East Queensland, Australia",TRUE,ai,TRUE,FALSE,,
KY860600.1,TRUE,Lyssavirus,sub5792,Turkey,Lyssavirus rabies,,non-human,2014,FALSE,FALSE,,Mammal,Turkey,TRUE,ai,TRUE,FALSE,,
NC_015934.1,TRUE,Picornaviridae,TLC5F,Hong Kong,Bat picornavirus 3,,non-human,12-Sep-2008,FALSE,FALSE,Rhinolophus sinicus,Mammal,Hong Kong,TRUE,ai,TRUE,FALSE,,
MK829684.1,TRUE,Novirhabdovirus,VHSV/O.mykiss/I/TN/62/Feb15,Italy,Viral hemorrhagic septicemia virus,,non-human,03-Feb-2015,FALSE,FALSE,Oncorhynchus mykiss,Fish,"Unknown, Italy",FALSE,ai,TRUE,FALSE,,
MK540664.1,TRUE,Lyssavirus,NY.1990.2178R,USA: New York,Lyssavirus rabies,,non-human,1990,FALSE,FALSE,Procyon lotor,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
EF205192.1,TRUE,Alphainfluenzavirus,A/goose/Krasnoozerskoe/627/05,,Influenza A virus (A/goose/Krasnoozerskoye/627/2005(H5N1)),,non-human,,FALSE,FALSE,Aves,Avian,,TRUE,ai,TRUE,TRUE,3,
NC_021168.1,TRUE,Mastadenovirus,BaAdV-2,USA,Baboon adenovirus 3,,non-human,01-Mar-1997,FALSE,FALSE,Papio anubis,Mammal,"Unknown, USA",FALSE,ai,TRUE,FALSE,,
KJ438780.1,TRUE,Orthoflavivirus,V44,Germany,Usutu virus,,non-human,2011,FALSE,FALSE,Turdus merula,Avian,"Unknown, Germany",TRUE,ai,TRUE,FALSE,,
AB645847.1,TRUE,Lyssavirus,1088,USA,Lyssavirus rabies,,non-human,,FALSE,FALSE,Marmota monax,Mammal,USA,TRUE,ai,TRUE,FALSE,,
NC_030116.1,TRUE,Siadenovirus,CSPAdV_2,Antarctica,Chinstrap penguin adenovirus 2,,non-human,2010,FALSE,FALSE,Pygoscelis antarcticus,Avian,Antarctica,FALSE,ai,TRUE,FALSE,,
AF527529.1,TRUE,Thogotovirus,IIA,,Thogotovirus thogotoense,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,TRUE,6,
ON024077.1,TRUE,Hunnivirus,PHV/BIME5/P031T/pangolin/2018,China,Pangolin hunnivirus,,non-human,2018,FALSE,FALSE,Manis,Mammal,China,TRUE,ai,TRUE,FALSE,,
HM543475.1,TRUE,Orbivirus,CzArLip 91,Slovakia,Lipovnik virus,,non-human,,FALSE,FALSE,,Other,"null, Slovakia",FALSE,ai,TRUE,TRUE,1,
KX000072.1,TRUE,Alphavirus,EEEV/Culiseta melanura/USA/ARB14MS330590/2014,"USA: Onondaga, NY",Eastern equine encephalitis virus,,non-human,21-Aug-2014,TRUE,FALSE,Culiseta melanura,Insect,"Onondaga, USA",TRUE,ai,TRUE,FALSE,,
KX547420.1,TRUE,Orthoflavivirus,WNV-1/Cyanocitta cristata /USA/06VER01134/2006,"USA: Suffolk Co., NY",West Nile virus,,non-human,28-Jul-2006,TRUE,FALSE,Cyanocitta cristata,Avian,"Suffolk Co., USA",TRUE,ai,TRUE,FALSE,,
NC_036468.1,TRUE,Orthoreovirus,CGA280-05,Chile,Piscine orthoreovirus,,non-human,Nov-2011,FALSE,FALSE,Salmo salar,Fish,Chile,FALSE,ai,TRUE,TRUE,L2,
MH745749.1,TRUE,Gammapapillomavirus,PM084S3_c160986,Hong Kong,Macaca mulatta papillomavirus 7,,non-human,,FALSE,FALSE,Macaca mulatta,Mammal,"Hong Kong, China",TRUE,ai,TRUE,FALSE,,
AF389117.1,FALSE,Alphainfluenzavirus,A/Puerto Rico/8/34/Mount Sinai,,Influenza A virus (A/Puerto Rico/8/34/Mount Sinai(H1N1)),,non-human,,FALSE,FALSE,Homo sapiens,Mammal,,TRUE,ai,TRUE,TRUE,3,
NC_004221.1,TRUE,Seadornavirus,JKT-6423,,Banna virus strain JKT-6423,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,TRUE,6,
JX458824.1,TRUE,Iltovirus,K317,China,Gallid alphaherpesvirus 1,,non-human,,FALSE,FALSE,Gallus gallus,Avian,,FALSE,ai,TRUE,FALSE,,
AB477106.1,TRUE,Gammapolyomavirus,GFM-1,Japan: Shizuoka,Gammapolyomavirus avis,,non-human,,FALSE,FALSE,Aves,Avian,"Shizuoka, Japan",FALSE,ai,TRUE,FALSE,,
NC_022635.1,TRUE,Orbivirus,CGLV/BE AN 28873,Brazil: Ipixuna-PA,Changuinola virus,,non-human,29-Mar-1961,FALSE,FALSE,Oryzomys goeldi,Mammal,"Ipixuna-PA, Brazil",FALSE,ai,TRUE,TRUE,5,
OR233592.1,TRUE,Adenoviridae,cd_2020_s1,China,Zoothera dauma adenovirus,,non-human,18-Sep-2020,FALSE,FALSE,Zoothera dauma,Avian,China,TRUE,ai,TRUE,FALSE,,
MK052931.1,TRUE,Orthoreovirus,28(P5),Chile,Piscine orthoreovirus,,non-human,Apr-2018,FALSE,FALSE,Oncorhynchus kisutch,Fish,Chile,FALSE,ai,TRUE,TRUE,S1,
OR459998.1,TRUE,Novirhabdovirus,23-013422,USA,Novirhabdovirus hirame,,non-human,2023-05-01,FALSE,FALSE,,Fish,USA,FALSE,ai,TRUE,FALSE,,
ON059827.1,TRUE,Copiparvovirus,P220T/pangolin/2018,,Copiparvovirus P220T/pangolin/2018,,non-human,2018,FALSE,FALSE,Manis javanica,Mammal,", ",TRUE,ai,TRUE,FALSE,,
MF417809.1,TRUE,Iltovirus,3.26.90,,Gallid alphaherpesvirus 1,,non-human,,FALSE,FALSE,plant,Plant,"Unknown, Unknown",FALSE,ai,TRUE,FALSE,,
NC_009241.1,TRUE,Phytoreovirus,,,Rice gall dwarf virus,,non-human,,FALSE,FALSE,plant,Plant," , ",FALSE,ai,TRUE,TRUE,8,
PP471889.1,TRUE,Alpharicinrhavirus,22HNT22,China,Wuhan Tick Virus 1,,non-human,Jun-2022,FALSE,FALSE,Rhipicephalus sanguineus,Other,"Unknown, China",TRUE,ai,TRUE,FALSE,,
MW721980.1,TRUE,Mogiana tick virus,JTV/HAHH1,China,Jingmen tick virus,,non-human,2019,FALSE,FALSE,Rhipicephalus microplus,Insect,China,TRUE,ai,TRUE,TRUE,2,
NC_023162.1,TRUE,Limnipivirus,F37/06,Germany,limnipivirus B1,,non-human,2006,FALSE,FALSE,Cyprinus carpio,Fish,Germany,FALSE,ai,TRUE,FALSE,,
MT454652.1,TRUE,Lyssavirus,483/17,South Africa,Lyssavirus rabies,,non-human,2017,FALSE,FALSE,Canis mesomelas,Mammal,South Africa,TRUE,ai,TRUE,FALSE,,
MF069444.1,TRUE,Protoparvovirus,CPV/Raccoon/RC20/BC_2016,Canada: British Columbia,Canine parvovirus,,non-human,2016,FALSE,FALSE,Procyon lotor,Mammal,"British Columbia, Canada",TRUE,ai,TRUE,FALSE,,
AF005368.1,TRUE,Macavirus,,,Alcelaphine gammaherpesvirus 1,,non-human,,FALSE,FALSE,Alcelaphini,Mammal,,TRUE,ai,TRUE,FALSE,,
MK783006.1,TRUE,Novirhabdovirus,TAVgr07-01,USA: Budd Lake,Viral hemorrhagic septicemia virus,,non-human,2007,FALSE,FALSE,Lepomis macrochirus,Fish,"Budd Lake, USA",FALSE,ai,TRUE,FALSE,,
AY950241.1,TRUE,Alphainfluenzavirus,A/Chicken/Henan/16/2004,China,Influenza A virus (A/chicken/Henan/16/2004(H5N1)),,non-human,,FALSE,FALSE,Gallus gallus,Avian,China,TRUE,ai,TRUE,TRUE,7,
LR743428.1,TRUE,Orthoflavivirus,ED-I-118_19,,West Nile virus,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
ON745305.1,TRUE,Gammapapillomavirus,RDC-01,Uganda,Gammapapillomavirus sp.,,non-human,02-May-2010,FALSE,FALSE,Piliocolobus tephrosceles,Mammal,"Unknown, Uganda",FALSE,ai,TRUE,FALSE,,
NC_007526.1,TRUE,Mycoreovirus,,,Mycoreovirus 3,,non-human,,FALSE,FALSE,Unknown,Fungi,"Unknown, Unknown",FALSE,ai,TRUE,TRUE,7,
DQ997174.1,TRUE,Alphainfluenzavirus,A/duck/Hubei/wq/2003,China,Influenza A virus (A/duck/Hubei/wq/2003(H5N1)),,non-human,,FALSE,FALSE,Unknown,Avian,"Unknown, China",TRUE,ai,TRUE,TRUE,5,
KF274499.1,TRUE,Macavirus,topi-AlHV-2,USA,Alcelaphine gammaherpesvirus 2,,non-human,1984,FALSE,FALSE,Damaliscus lunatus jimela,Mammal,USA,TRUE,ai,TRUE,FALSE,,
MG562519.1,TRUE,Lyssavirus,NH.2003.5152,USA,Lyssavirus rabies,,non-human,2003,FALSE,FALSE,Procyon lotor,Mammal,"Unknown, USA",TRUE,ai,TRUE,FALSE,,
